Scheme,Category,CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Exp. Ratio(%),6M_Score,1Y_Score,3Y_Score,Performance_Score,Cost_Score,Return_Std,Consistency_Score,Overall_Score,Category_Avg_3Y,3Y_vs_Category,Overall_Rank,Category_Rank,Type,Benchmark,Min. Invest(Rs.),SIP Min. Inv.(Rs.)
ICICI Pru S&P BSE Sensex Index Fund(IDCW),Index Funds - Sensex,6.36,15.09,13.02,0.27,65.95059076262085,45.57309540150995,63.11126860382708,58.417681074890695,94.25287356321839,11.036995264321927,80.88336343929733,72.99289978807428,12.6,0.41999999999999993,1,1,Open ended,S&P BSE SENSEX - TRI,1000.0,1000.0
ICICI Pru S&P BSE Sensex Index Fund(G),Index Funds - Sensex,6.36,15.09,13.02,0.27,65.95059076262085,45.57309540150995,63.11126860382708,58.417681074890695,94.25287356321839,11.036995264321927,80.88336343929733,72.99289978807428,12.6,0.41999999999999993,1,1,Open ended,S&P BSE SENSEX - TRI,1000.0,1000.0
UTI Nifty 50 Index Fund-Reg(IDCW),Index Funds - Nifty,4.77,15.03,12.3,0.3,62.534908700322234,45.47014413177763,60.55988660524451,56.42796828221999,93.10344827586206,9.334588278471372,83.83201883395068,72.44785091856318,11.5208,0.7792000000000012,3,1,Open ended,NIFTY 50 - TRI,5000.0,1000.0
UTI Nifty 50 Index Fund-Reg(G),Index Funds - Nifty,4.77,15.03,12.3,0.3,62.534908700322234,45.47014413177763,60.55988660524451,56.42796828221999,93.10344827586206,9.334588278471372,83.83201883395068,72.44785091856318,11.5208,0.7792000000000012,3,1,Open ended,NIFTY 50 - TRI,5000.0,1000.0
ICICI Pru Nifty 50 Index Fund(G),Index Funds - Nifty,4.6,14.78,11.89,0.35,62.16970998925886,45.04118050789294,59.107016300496106,55.49980430046771,91.18773946360153,9.13431580515371,84.17890093309435,71.59156224940781,11.5208,0.3692000000000011,5,3,Open ended,NIFTY 50 - TRI,1000.0,1000.0
HDFC Index Fund-S&P BSE Sensex(G),Index Funds - Sensex,6.32,14.8,13.02,0.4,65.86466165413533,45.07549759780371,63.11126860382708,58.25121591208172,89.272030651341,11.292029277564696,80.44163157070267,71.55402351155178,12.6,0.41999999999999993,6,3,Open ended,S&P BSE SENSEX - TRI,1000.0,NULL
HDFC Index Fund-NIFTY 50 Plan(G),Index Funds - Nifty,4.63,14.8,12.11,0.4,62.234156820622985,45.07549759780371,59.88660524450744,55.91278326571943,89.272030651341,9.303220718740448,83.8863490411141,71.24598655597349,11.5208,0.5892,7,4,Open ended,NIFTY 50 - TRI,1000.0,1000.0
ICICI Pru Passive Strategy Fund(FOF)(IDCW),FoFs (Domestic) - Equity Oriented,5.94,15.0,11.05,0.37,65.04833512352309,45.418668496911465,56.13040396881643,54.70046955818627,90.42145593869732,9.828483985946704,82.97656637496323,70.69974035750828,9.208461538461538,1.8415384615384625,8,1,Open ended,NIFTY 200 - TRI,5000.0,1000.0
ICICI Pru Passive Strategy Fund(FOF)(G),FoFs (Domestic) - Equity Oriented,5.89,14.98,11.04,0.37,64.94092373791621,45.384351407000686,56.09496810772501,54.65097422354595,90.42145593869732,9.793090782583034,83.03786920143173,70.69031839680524,9.208461538461538,1.831538461538461,9,2,Open ended,NIFTY 200 - TRI,5000.0,1000.0
SBI Nifty Index Fund-Reg(IDCW),Index Funds - Nifty,4.55,14.56,11.77,0.5,62.062298603651975,44.663692518874406,58.681785967399,55.152460460092215,85.44061302681992,9.225384394057278,84.02116551013978,69.94167486428603,11.5208,0.2492000000000001,10,5,Open ended,NIFTY 50 - TRI,5000.0,1000.0
SBI Nifty Index Fund-Reg(G),Index Funds - Nifty,4.55,14.52,11.74,0.5,62.062298603651975,44.59505833905285,58.575478384124736,55.07871641450862,85.44061302681992,9.244048016076658,83.98883916854895,69.89672125609653,11.5208,0.21920000000000073,11,6,Open ended,NIFTY 50 - TRI,5000.0,1000.0
Tata NIFTY 50 Index Fund-Reg(G),Index Funds - Nifty,4.57,14.58,11.91,0.52,62.10526315789473,44.69800960878518,59.17788802267895,55.41939952555397,84.67432950191571,9.320665929235007,83.85613305018879,69.8423154008031,11.5208,0.38920000000000066,12,7,Open ended,NIFTY 50 - TRI,5000.0,1000.0
IDFC Nifty 50 Index Fund-Reg(G),Index Funds - Nifty,4.7,15.02,12.21,0.6,62.38453276047261,45.452985586822244,60.24096385542168,56.23328415585203,81.60919540229885,9.219151069167722,84.03196194554857,69.52693141488787,11.5208,0.6892000000000014,13,8,Open ended,NIFTY 50 - TRI,1000.0,1000.0
Tata S&P BSE Sensex Index Fund-Reg(G),Index Funds - Sensex,6.09,14.17,12.63,0.58,65.37056928034372,43.994509265614276,61.72927002126152,57.13710164638378,82.37547892720308,11.43617608809542,80.19196197111444,69.21041104777127,12.6,0.030000000000001137,14,4,Open ended,S&P BSE SENSEX - TRI,5000.0,1000.0
Kotak Multi Asset Allocator FoF-Dynamic(IDCW),FoFs (Domestic) - Debt Oriented,12.75,19.18,14.93,0.98,79.67776584317937,52.59094028826357,69.87951807228916,66.65259429125953,67.04980842911877,13.714935288561021,76.24503525769299,69.1500080673327,7.596764705882354,7.333235294117646,15,1,Open ended,NULL,5000.0,1000.0
Kotak Multi Asset Allocator FoF-Dynamic(G),FoFs (Domestic) - Debt Oriented,12.75,19.18,14.93,0.98,79.67776584317937,52.59094028826357,69.87951807228916,66.65259429125953,67.04980842911877,13.714935288561021,76.24503525769299,69.1500080673327,7.596764705882354,7.333235294117646,15,1,Open ended,NULL,5000.0,1000.0
IDFC Nifty 50 Index Fund-Reg(IDCW),Index Funds - Nifty,4.7,14.59,11.95,0.6,62.38453276047261,44.71516815374057,59.319631467044644,55.55127273173902,81.60919540229885,9.441843165873705,83.64624791960976,69.08949719634667,11.5208,0.4291999999999998,17,9,Open ended,NIFTY 50 - TRI,1000.0,1000.0
Aditya Birla SL Nifty 50 Index Fund-Reg(G),Index Funds - Nifty,4.41,14.67,11.68,0.6,61.76154672395273,44.85243651338367,58.36286321757618,54.98947190759374,81.60919540229885,8.944278314645672,84.50805552199716,69.02404868487088,11.5208,0.15920000000000023,18,10,Open ended,NIFTY 50 - TRI,1000.0,1000.0
Aditya Birla SL Nifty 50 Index Fund-Reg(IDCW-Reinv),Index Funds - Nifty,4.41,14.65,11.46,0.6,61.76154672395273,44.81811942347289,57.58327427356485,54.589382308614844,81.60919540229885,8.82691780580989,84.71132988610287,68.87482247640786,11.5208,-0.06079999999999863,19,11,Open ended,NIFTY 50 - TRI,1000.0,1000.0
Nippon India Small Cap Fund(IDCW),Equity - Small cap Fund,10.34,30.24,14.69,1.76,74.50053705692802,71.56829100892246,69.02905740609495,70.88512341710981,37.16475095785441,2.7380912982481385,95.25748675567199,68.5481211369365,12.12758620689655,2.562413793103449,20,1,Open ended,Nifty Smallcap 250 - TRI,5000.0,1000.0
Nippon India Index Fund-Nifty 50 Plan(G),Index Funds - Nifty,4.16,14.05,11.37,0.59,61.224489795918366,43.788606726149624,57.26435152374202,54.01365573889957,81.99233716475096,9.140463257837306,84.16825323270925,68.54697546881485,11.5208,-0.15080000000000027,21,12,Open ended,NIFTY 50 - TRI,1000.0,1000.0
Nippon India Small Cap Fund(G),Equity - Small cap Fund,10.34,30.24,14.68,1.76,74.50053705692802,71.56829100892246,68.99362154500355,70.86740548656411,37.16475095785441,2.7553919318902453,95.22752117920074,68.53177077754584,12.12758620689655,2.552413793103449,22,2,Open ended,Nifty Smallcap 250 - TRI,5000.0,1000.0
Franklin India NSE Nifty 50 Index Fund(G),Index Funds - Nifty,4.42,14.37,11.46,0.66,61.783029001074105,44.33768016472204,57.58327427356485,54.44954698641386,79.3103448275862,9.105162446742856,84.22939603107322,68.10970870787179,11.5208,-0.06079999999999863,23,13,Open ended,NIFTY 50 - TRI,5000.0,1000.0
Franklin India NSE Nifty 50 Index Fund(IDCW),Index Funds - Nifty,4.42,14.37,11.46,0.66,61.783029001074105,44.33768016472204,57.58327427356485,54.44954698641386,79.3103448275862,9.105162446742856,84.22939603107322,68.10970870787179,11.5208,-0.06079999999999863,23,13,Open ended,NIFTY 50 - TRI,5000.0,1000.0
Quantum Gold Saving Fund-Reg(G),FoFs (Domestic / Overseas ) - Gold,12.64,10.09,11.65,0.21,79.44146079484426,36.99382292381607,58.25655563430191,56.114716853264625,96.55172413793103,21.22383082688218,63.23924667659349,68.00510113026344,11.126842105263158,0.5231578947368423,25,1,Open ended,Gold-India,1000.0,1000.0
Nippon India Index Fund-Nifty 50 Plan(Q-IDCW),Index Funds - Nifty,4.16,13.68,10.91,0.59,61.224489795918366,43.15374056280028,55.63430191353649,53.008171084792004,81.99233716475096,9.251725875353001,83.97554072618895,67.99605501513098,11.5208,-0.6107999999999993,26,15,Open ended,NIFTY 50 - TRI,1000.0,1000.0
Nippon India Index Fund-Nifty 50 Plan(H-IDCW),Index Funds - Nifty,4.16,13.68,10.91,0.59,61.224489795918366,43.15374056280028,55.63430191353649,53.008171084792004,81.99233716475096,9.251725875353001,83.97554072618895,67.99605501513098,11.5208,-0.6107999999999993,26,15,Open ended,NIFTY 50 - TRI,1000.0,1000.0
Nippon India Index Fund-Nifty 50 Plan(A-IDCW),Index Funds - Nifty,4.16,13.68,10.84,0.59,61.224489795918366,43.15374056280028,55.38625088589653,52.884145570972024,81.99233716475096,9.221996532036751,84.02703345928836,67.94691544149585,11.5208,-0.6807999999999996,28,17,Open ended,NIFTY 50 - TRI,1000.0,1000.0
Nippon India Index Fund-S&P BSE Sensex Plan(G),Index Funds - Sensex,5.97,14.74,12.72,0.81,65.11278195488721,44.97254632807138,62.04819277108433,57.53841667494102,73.5632183908046,10.852023616327081,81.20374373158415,67.4609488680677,12.6,0.120000000000001,29,5,Open ended,S&P BSE SENSEX - TRI,5000.0,1000.0
DSP Nifty 50 Equal Weight Index Fund-Reg(IDCW),Index Funds - Nifty,4.46,18.21,10.08,0.88,61.868958109559614,50.926561427590954,52.693125442948265,53.99832277166334,70.88122605363985,5.8744176830781285,89.82521010802763,67.17577042624855,11.5208,-1.4407999999999994,30,18,Open ended,NIFTY50 Equal Weight - TRI,1000.0,1000.0
DSP Nifty 50 Equal Weight Index Fund-Reg(G),Index Funds - Nifty,4.46,18.21,10.08,0.88,61.868958109559614,50.926561427590954,52.693125442948265,53.99832277166334,70.88122605363985,5.8744176830781285,89.82521010802763,67.17577042624855,11.5208,-1.4407999999999994,30,18,Open ended,NIFTY50 Equal Weight - TRI,1000.0,1000.0
Nippon India Index Fund-S&P BSE Sensex Plan(H-IDCW),Index Funds - Sensex,5.97,14.39,12.27,0.81,65.11278195488721,44.37199725463281,60.45357902197023,56.5609450783524,73.5632183908046,10.881985067777299,81.15184897540387,66.95923938072832,12.6,-0.33000000000000007,32,6,Open ended,S&P BSE SENSEX - TRI,5000.0,1000.0
Nippon India Index Fund-S&P BSE Sensex Plan(Q-IDCW),Index Funds - Sensex,5.97,14.39,12.27,0.81,65.11278195488721,44.37199725463281,60.45357902197023,56.5609450783524,73.5632183908046,10.881985067777299,81.15184897540387,66.95923938072832,12.6,-0.33000000000000007,32,6,Open ended,S&P BSE SENSEX - TRI,5000.0,1000.0
Nippon India Index Fund-S&P BSE Sensex Plan(A-IDCW),Index Funds - Sensex,5.97,14.38,12.27,0.81,65.11278195488721,44.35483870967742,60.45357902197023,56.55579751486578,73.5632183908046,10.891662096791396,81.13508786948513,66.95247532250532,12.6,-0.33000000000000007,34,8,Open ended,S&P BSE SENSEX - TRI,5000.0,1000.0
ICICI Pru Thematic Advantage Fund(FOF)(G),FoFs (Domestic) - Equity Oriented,6.37,23.61,14.85,1.61,65.97207303974221,60.192175703500354,69.59603118355776,66.05008291077743,42.911877394636,4.7429383251213295,91.78498984372422,66.69925826497877,9.208461538461538,5.641538461538461,35,3,Open ended,NIFTY 200 - TRI,5000.0,1000.0
Nippon India Gold Savings Fund(IDCW),FoFs (Domestic / Overseas ) - Gold,12.26,9.92,11.41,0.37,78.62513426423202,36.702127659574465,57.40609496810772,55.43871263477261,90.42145593869732,20.962030649635075,63.69269788501601,66.24789477331464,11.126842105263158,0.28315789473684205,36,2,Open ended,Gold-India,1000.0,1000.0
Nippon India Gold Savings Fund(G),FoFs (Domestic / Overseas ) - Gold,12.26,9.92,11.41,0.37,78.62513426423202,36.702127659574465,57.40609496810772,55.43871263477261,90.42145593869732,20.962030649635075,63.69269788501601,66.24789477331464,11.126842105263158,0.28315789473684205,36,2,Open ended,Gold-India,1000.0,1000.0
SBI Gold-Reg(IDCW),FoFs (Domestic / Overseas ) - Gold,13.02,10.11,11.7,0.42,80.25778732545649,37.02814001372684,58.43373493975903,56.37686693908887,88.50574712643679,21.615161204455454,62.561442580091466,65.9552308961765,11.126842105263158,0.5731578947368412,38,4,Open ended,Gold-London Bullion Market association (LBMA),5000.0,1000.0
SBI Gold-Reg(G),FoFs (Domestic / Overseas ) - Gold,13.02,10.1,11.7,0.42,80.25778732545649,37.010981468771455,58.43373493975903,56.371719375602254,88.50574712643679,21.62371323962879,62.54663002066313,65.94895397457611,11.126842105263158,0.5731578947368412,39,5,Open ended,Gold-London Bullion Market association (LBMA),5000.0,1000.0
ICICI Pru Value Discovery Fund(G),Equity - Value Fund,10.1,25.48,13.97,1.74,73.98496240601503,63.400823610157865,66.4776754075124,67.05607726800656,37.931034482758605,5.444421749380113,90.56998491224061,65.65329348275309,9.0436,4.926400000000001,40,1,Open ended,NIFTY 500 - TRI,1000.0,1000.0
Invesco India Gold Fund(G),FoFs (Domestic / Overseas ) - Gold,12.62,10.11,11.47,0.45,79.3984962406015,37.02814001372684,57.61871013465627,55.79749631956649,87.35632183908046,21.18795942478453,63.30137776756535,65.5631730614447,11.126842105263158,0.34315789473684255,41,6,Open ended,Gold-India,1000.0,1000.0
Invesco India Gold Fund(IDCW),FoFs (Domestic / Overseas ) - Gold,12.62,10.11,11.47,0.45,79.3984962406015,37.02814001372684,57.61871013465627,55.79749631956649,87.35632183908046,21.18795942478453,63.30137776756535,65.5631730614447,11.126842105263158,0.34315789473684255,41,6,Open ended,Gold-India,1000.0,1000.0
Taurus Nifty 50 Index Fund-Reg(G),Index Funds - Nifty,4.44,15.3,12.21,1.04,61.82599355531686,45.9334248455731,60.24096385542168,56.26570809244615,64.75095785440612,8.753967975170035,84.83768269917465,65.53001418461827,11.5208,0.6892000000000014,43,20,Open ended,NIFTY 50 - TRI,5000.0,1000.0
Taurus Nifty 50 Index Fund-Reg(IDCW),Index Funds - Nifty,4.43,15.29,12.21,1.04,61.804511278195484,45.91626630061771,60.24096385542168,56.25626407353525,64.75095785440612,8.756692383994038,84.83296388467089,65.52411247153688,11.5208,0.6892000000000014,44,21,Open ended,NIFTY 50 - TRI,5000.0,1000.0
IDBI Nifty Index Fund(IDCW),Index Funds - Nifty,4.15,14.04,11.25,0.9,61.203007518796994,43.77144818119424,56.83912119064494,53.791596553440144,70.11494252873563,9.070711500091237,84.28906682104267,65.49680061416464,11.5208,-0.2707999999999995,45,22,Open ended,NIFTY 50 - TRI,5000.0,1000.0
IDBI Nifty Index Fund(G),Index Funds - Nifty,4.16,14.02,11.24,0.9,61.224489795918366,43.737131091283466,56.80368532955351,53.76787995134546,70.11494252873563,9.092909932616495,84.25061800806054,65.47533010987178,11.5208,-0.2807999999999993,46,23,Open ended,NIFTY 50 - TRI,5000.0,1000.0
Nippon India Quant Fund(G),Equity - Thematic Fund - Other,8.15,17.09,11.05,1.01,69.79591836734693,49.004804392587516,56.13040396881643,56.72582697565386,65.90038314176245,10.565595687644514,81.69985145676907,65.26297213745981,8.65263157894737,2.397368421052631,47,1,Open ended,S&P BSE 200 - TRI,5000.0,1000.0
Nippon India Quant Fund(IDCW),Equity - Thematic Fund - Other,8.15,17.09,11.05,1.01,69.79591836734693,49.004804392587516,56.13040396881643,56.72582697565386,65.90038314176245,10.565595687644514,81.69985145676907,65.26297213745981,8.65263157894737,2.397368421052631,47,1,Open ended,S&P BSE 200 - TRI,5000.0,1000.0
Kotak Gold Fund(G),FoFs (Domestic / Overseas ) - Gold,12.41,10.12,12.0,0.54,78.94736842105263,37.04529855868223,59.496810772501775,56.651468638066085,83.9080459770115,20.96893755168129,63.680734779749066,65.22292950822319,11.126842105263158,0.8731578947368419,49,8,Open ended,Gold-India,5000.0,1000.0
Kotak Gold Fund(IDCW),FoFs (Domestic / Overseas ) - Gold,12.41,10.12,12.0,0.54,78.94736842105263,37.04529855868223,59.496810772501775,56.651468638066085,83.9080459770115,20.96893755168129,63.680734779749066,65.22292950822319,11.126842105263158,0.8731578947368419,49,8,Open ended,Gold-India,5000.0,1000.0
Quantum Equity FoF-Reg(IDCW),FoFs (Domestic) - Equity Oriented,0.93,12.62,8.96,0.75,54.285714285714285,41.33493479752917,48.724309000708715,47.61977779675597,75.86206896551724,6.496855254791858,88.74711660927966,64.96218529207721,9.208461538461538,-0.2484615384615374,51,4,Open ended,S&P BSE 200 - TRI,1000.0,1000.0
Quantum Equity FoF-Reg(G),FoFs (Domestic) - Equity Oriented,0.93,12.62,8.96,0.75,54.285714285714285,41.33493479752917,48.724309000708715,47.61977779675597,75.86206896551724,6.496855254791858,88.74711660927966,64.96218529207721,9.208461538461538,-0.2484615384615374,51,4,Open ended,S&P BSE 200 - TRI,1000.0,1000.0
ICICI Pru Value Discovery Fund(IDCW),Equity - Value Fund,10.08,25.12,13.49,1.74,73.94199785177229,62.78311599176391,64.77675407512402,66.01171140544564,37.931034482758605,5.951147377585233,89.69231037869208,64.9116919180855,9.0436,4.446400000000001,53,2,Open ended,NIFTY 500 - TRI,1000.0,1000.0
ICICI Pru Regular Gold Savings Fund(FOF)(IDCW),FoFs (Domestic / Overseas ) - Gold,12.6,10.09,11.5,0.53,79.35553168635874,36.99382292381607,57.72501771793055,55.83176207338184,84.2911877394636,21.182445331816517,63.3109284567436,64.81641008574272,11.126842105263158,0.3731578947368419,54,10,Open ended,Gold-India,1000.0,1000.0
ICICI Pru Regular Gold Savings Fund(FOF)(G),FoFs (Domestic / Overseas ) - Gold,12.6,10.09,11.5,0.53,79.35553168635874,36.99382292381607,57.72501771793055,55.83176207338184,84.2911877394636,21.182445331816517,63.3109284567436,64.81641008574272,11.126842105263158,0.3731578947368419,54,10,Open ended,Gold-India,1000.0,1000.0
Aditya Birla SL Gold Fund(IDCW),FoFs (Domestic / Overseas ) - Gold,13.3,9.9,11.56,0.51,80.85929108485499,36.66781056966369,57.937632884479086,56.14101783010965,85.0574712643678,22.10088499767679,61.72014429178703,64.76491280409354,11.126842105263158,0.4331578947368424,56,12,Open ended,Gold-India,1000.0,1000.0
Aditya Birla SL Gold Fund(G),FoFs (Domestic / Overseas ) - Gold,13.3,9.89,11.55,0.51,80.85929108485499,36.65065202470831,57.90219702338767,56.11815233607733,85.0574712643678,22.109802125333,61.7046993736289,64.74961882753784,11.126842105263158,0.4231578947368426,57,13,Open ended,Gold-India,1000.0,1000.0
Axis Gold Fund-Reg(IDCW),FoFs (Domestic / Overseas ) - Gold,12.87,10.26,11.95,0.6,79.93555316863588,37.28551818805765,59.319631467044644,56.83258182366679,81.60919540229885,21.328946916658893,63.05718026840725,64.58288482950992,11.126842105263158,0.8231578947368412,58,14,Open ended,Gold-India,5000.0,1000.0
Axis Gold Fund-Reg(G),FoFs (Domestic / Overseas ) - Gold,12.87,10.25,11.94,0.6,79.93555316863588,37.268359643102265,59.284195605953215,56.80971632963446,81.60919540229885,21.33723273869048,63.04282880366606,64.56786421630846,11.126842105263158,0.8131578947368414,59,15,Open ended,Gold-India,5000.0,1000.0
LIC MF Nifty 50 Index Fund(IDCW),Index Funds - Nifty,4.04,14.07,11.34,1.01,60.96670247046186,43.8229238160604,57.15804394046775,53.91923960914437,65.90038314176245,9.002226160618845,84.40768690858246,64.53663731715841,11.5208,-0.18079999999999963,60,24,Open ended,NIFTY 50 - TRI,5000.0,1000.0
LIC MF Nifty 50 Index Fund(G),Index Funds - Nifty,4.04,14.07,11.34,1.01,60.96670247046186,43.8229238160604,57.15804394046775,53.91923960914437,65.90038314176245,9.002226160618845,84.40768690858246,64.53663731715841,11.5208,-0.18079999999999963,60,24,Open ended,NIFTY 50 - TRI,5000.0,1000.0
LIC MF S&P BSE Sensex Index Fund(IDCW),Index Funds - Sensex,5.58,14.22,12.39,1.08,64.27497314715359,44.08030199039123,60.87880935506733,56.518489904081754,63.2183908045977,10.813174998688133,81.27103151113863,64.38160053097496,12.6,-0.20999999999999908,62,9,Open ended,S&P BSE SENSEX - TRI,5000.0,1000.0
LIC MF S&P BSE Sensex Index Fund(G),Index Funds - Sensex,5.58,14.22,12.39,1.08,64.27497314715359,44.08030199039123,60.87880935506733,56.518489904081754,63.2183908045977,10.813174998688133,81.27103151113863,64.38160053097496,12.6,-0.20999999999999908,62,9,Open ended,S&P BSE SENSEX - TRI,5000.0,1000.0
Quant Small Cap Fund(IDCW),Equity - Small cap Fund,7.19,46.81,23.43,2.67,67.73361976369495,100.00000000000003,100.0,93.546723952739,2.298850574712641,18.62900331520555,67.73361976369493,64.28147956097139,12.12758620689655,11.30241379310345,64,3,Open ended,Nifty Smallcap 250 - TRI,5000.0,1000.0
SBI Contra Fund-Reg(G),Equity - Contra Fund,14.48,29.38,13.69,1.91,83.39419978517722,70.0926561427591,65.4854712969525,70.44937244833943,31.417624521072796,9.29946030279478,83.89286227258958,64.05230792258531,12.436666666666667,1.253333333333332,65,1,Open ended,S&P BSE 500 - TRI,5000.0,1000.0
SBI Contra Fund-Reg(IDCW),Equity - Contra Fund,14.48,29.38,13.69,1.91,83.39419978517722,70.0926561427591,65.4854712969525,70.44937244833943,31.417624521072796,9.29946030279478,83.89286227258958,64.05230792258531,12.436666666666667,1.253333333333332,65,1,Open ended,S&P BSE 500 - TRI,5000.0,1000.0
Quant Small Cap Fund(G),Equity - Small cap Fund,7.09,46.69,23.04,2.67,67.5187969924812,99.79409746053535,98.61800141743444,92.75098934537407,2.298850574712641,18.304092156631743,68.29638239829083,64.02430291593791,12.12758620689655,10.912413793103449,67,4,Open ended,Nifty Smallcap 250 - TRI,5000.0,1000.0
HDFC Gold Fund(G),FoFs (Domestic / Overseas ) - Gold,11.82,10.02,11.48,0.65,77.67991407089151,36.873713109128346,57.6541459957477,55.42516974479066,79.6934865900383,20.404263504173752,64.65877891974768,63.80065124984183,11.126842105263158,0.35315789473684234,68,16,Open ended,Gold-India,1000.0,1000.0
Aditya Birla SL Financial Planning FOF Moderate Plan(G),FoFs (Domestic) - Debt Oriented,4.17,10.97,8.72,0.67,61.24597207303973,38.50377487989019,47.87384833451453,47.73725104583227,78.9272030651341,11.429636207360115,80.20328937682343,63.651248633405515,7.596764705882354,1.1232352941176469,69,3,Open ended,CRISIL Hybrid 50+50 - Moderate Index,1000.0,1000.0
Aditya Birla SL Financial Planning FOF Moderate Plan(IDCW-Payout),FoFs (Domestic) - Debt Oriented,4.17,10.97,8.72,0.67,61.24597207303973,38.50377487989019,47.87384833451453,47.73725104583227,78.9272030651341,11.429636207360115,80.20328937682343,63.651248633405515,7.596764705882354,1.1232352941176469,69,3,Open ended,CRISIL Hybrid 50+50 - Moderate Index,1000.0,1000.0
Sundaram Nifty 100 Equal Weight Fund(G),Index Funds - Other,-2.14,13.92,7.77,0.95,47.690655209452196,43.565545641729585,44.5074415308292,44.86151549982391,68.19923371647509,2.161656237525289,96.25590156810802,63.544541571057735,9.1675,-1.3975000000000009,71,1,Open ended,Nifty100 Equal Weight - TRI,1000.0,1000.0
Sundaram Nifty 100 Equal Weight Fund(IDCW),Index Funds - Other,-2.14,13.92,7.77,0.95,47.690655209452196,43.565545641729585,44.5074415308292,44.86151549982391,68.19923371647509,2.161656237525289,96.25590156810802,63.544541571057735,9.1675,-1.3975000000000009,71,1,Open ended,Nifty100 Equal Weight - TRI,1000.0,1000.0
IDBI Gold Fund(G),FoFs (Domestic / Overseas ) - Gold,12.08,10.01,11.28,0.67,78.23845327604727,36.85655456417296,56.94542877391919,55.177371411420935,78.9272030651341,20.69386906172558,64.1571673799136,63.35977831697239,11.126842105263158,0.15315789473684127,73,17,Open ended,Gold-India,5000.0,1000.0
SBI Small Cap Fund-Reg(IDCW-Payout),Equity - Small cap Fund,9.65,24.58,13.03,1.83,73.01825993555316,61.85655456417296,63.14670446491849,64.73397058882176,34.48275862068966,6.1059501168083115,89.42418416920688,63.343720991885014,12.12758620689655,0.9024137931034488,74,5,Open ended,S&P BSE 250 Small Cap - TRI,5000.0,1000.0
SBI Small Cap Fund-Reg(G),Equity - Small cap Fund,9.65,24.58,13.03,1.83,73.01825993555316,61.85655456417296,63.14670446491849,64.73397058882176,34.48275862068966,6.1059501168083115,89.42418416920688,63.343720991885014,12.12758620689655,0.9024137931034488,74,5,Open ended,S&P BSE 250 Small Cap - TRI,5000.0,1000.0
Quant Multi Asset Fund(IDCW),Hybrid - Multi Asset Allocation,7.62,28.31,20.14,2.31,68.65735767991407,68.2566918325326,88.34160170092133,78.37927993620326,16.09195402298851,11.482113628169083,80.11239581773212,63.24072742828179,10.563571428571427,9.576428571428574,76,1,Open ended,NULL,5000.0,1000.0
Quant Multi Asset Fund(G),Hybrid - Multi Asset Allocation,7.61,28.21,20.08,2.31,68.63587540279269,68.08510638297874,88.12898653437277,78.21720026263856,16.09195402298851,11.416668075119858,80.22575084074283,63.18802634725212,10.563571428571427,9.516428571428571,77,2,Open ended,NULL,5000.0,1000.0
Kotak Emerging Equity Fund(G),Equity - Mid Cap Fund,7.66,20.37,13.58,1.69,68.74328678839957,54.63280713795471,65.09567682494684,62.686337911539745,39.84674329501916,7.324415067635971,87.31374096713147,63.13329002130753,11.362272727272726,2.2177272727272737,78,1,Open ended,Nifty Midcap 150 - TRI,1000.0,1000.0
Kotak Emerging Equity Fund(IDCW),Equity - Mid Cap Fund,7.66,20.37,13.33,1.69,68.74328678839957,54.63280713795471,64.20978029766123,62.24338964789694,39.84674329501916,7.2038963065011385,87.52248558468224,62.96400204387382,11.362272727272726,1.9677272727272737,79,2,Open ended,Nifty Midcap 150 - TRI,1000.0,1000.0
SBI Magnum Midcap Fund-Reg(IDCW),Equity - Mid Cap Fund,6.23,23.05,12.19,1.8,65.67132116004296,59.231297185998635,60.170092133238825,60.988699454427596,35.63218390804597,3.47895495670232,93.974273257748,62.89596401866229,11.362272727272726,0.8277272727272731,80,3,Open ended,Nifty Free Float Midcap 150 - TRI,5000.0,1000.0
SBI Magnum Midcap Fund-Reg(G),Equity - Mid Cap Fund,6.23,23.05,12.19,1.8,65.67132116004296,59.231297185998635,60.170092133238825,60.988699454427596,35.63218390804597,3.47895495670232,93.974273257748,62.89596401866229,11.362272727272726,0.8277272727272731,80,3,Open ended,Nifty Free Float Midcap 150 - TRI,5000.0,1000.0
Quant Mid Cap Fund(IDCW),Equity - Mid Cap Fund,10.93,31.73,18.4,2.68,75.76799140708914,74.12491420727522,82.17576187101345,78.47895347910712,1.9157088122605304,4.253927070124113,92.63198218285243,62.8763994883318,11.362272727272726,7.037727272727272,82,5,Open ended,Nifty Midcap 150 - TRI,5000.0,1000.0
Aditya Birla SL Financial Planning FOF Aggressive Plan(G),FoFs (Domestic) - Equity Oriented,4.24,13.06,9.69,0.98,61.39634801288937,42.08991077556624,51.31112686038271,50.5618062654391,67.04980842911877,9.656440256607185,83.27455485530291,62.86199395382497,9.208461538461538,0.48153846153846125,83,6,Open ended,CRISIL Hybrid 35+65 - Aggressive Index,1000.0,1000.0
