Scheme,Category,CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Exp. Ratio(%),6M_Score,1Y_Score,3Y_Score,Performance_Score,Cost_Score,Return_Std,Consistency_Score,Overall_Score,Category_Avg_3Y,3Y_vs_Category,Overall_Rank,Category_Rank,Type,Benchmark,Min. Invest(Rs.),SIP Min. Inv.(Rs.)
SBI Equity Hybrid Fund-Reg(G),Hybrid - Aggressive Hybrid Fund,0.71,10.47,10.07,1.45,53.81310418904404,37.6458476321208,52.657689581856836,48.385219918373465,49.042145593869726,9.019151532671406,84.37837130425041,57.547739183716764,9.219019607843137,0.8509803921568633,369,5,Open ended,CRISIL Hybrid 35+65 - Aggressive Index,1000.0,1000.0
Canara Rob Flexi Cap Fund-Reg(G),Equity - Flexi Cap Fund,-0.61,14.29,12.64,1.77,50.97744360902256,44.20041180507893,61.76470588235294,54.33796520450466,36.7816091954023,8.858118817016054,84.65728814944627,57.52870693846448,10.461,2.1790000000000003,370,8,Open ended,S&P BSE 500 - TRI,5000.0,1000.0
ICICI Pru LT Equity Fund (Tax Saving)(IDCW),Equity - ELSS,1.73,14.88,10.5,1.78,56.004296455424274,45.21276595744681,54.18143160878809,51.855404882712946,36.398467432950184,5.776632962540095,89.99457821220344,57.52596385264488,10.023387096774194,0.4766129032258064,371,11,Open ended,NIFTY 500 - TRI,1000.0,1000.0
UTI Value Opp Fund-Reg(G),Equity - Value Fund,4.31,16.01,11.87,1.91,61.54672395273899,47.151681537405636,59.036144578313255,55.972921540926116,31.417624521072796,7.689394392118249,86.68157823341599,57.511261459085254,9.0436,2.8263999999999996,372,7,Open ended,NIFTY 500 - TRI,5000.0,1000.0
Kotak Flexicap Fund(G),Equity - Flexi Cap Fund,3.84,12.54,10.57,1.59,60.537056928034374,41.19766643788607,54.42948263642806,51.68145263518673,43.67816091954022,9.885978691813364,82.87698262323595,57.47951220328741,10.461,0.10899999999999999,373,9,Open ended,NIFTY 500 - TRI,5000.0,1000.0
UTI Mid Cap Fund-Reg(G),Equity - Mid Cap Fund,1.65,19.89,10.35,2.11,55.83243823845328,53.8091969800961,53.649893692416725,54.13419358792785,23.754789272030653,1.216715758535939,97.89258648784605,57.4789407339331,11.362272727272726,-1.0122727272727268,374,23,Open ended,Nifty Midcap 150 - TRI,5000.0,1000.0
UTI Mid Cap Fund-Reg(IDCW),Equity - Mid Cap Fund,1.65,19.89,10.35,2.11,55.83243823845328,53.8091969800961,53.649893692416725,54.13419358792785,23.754789272030653,1.216715758535939,97.89258648784605,57.4789407339331,11.362272727272726,-1.0122727272727268,374,23,Open ended,Nifty Midcap 150 - TRI,5000.0,1000.0
SBI Equity Hybrid Fund-Reg(IDCW),Hybrid - Aggressive Hybrid Fund,0.71,10.47,9.91,1.45,53.81310418904404,37.6458476321208,52.09071580439404,48.10173302964206,49.042145593869726,8.878823334572617,84.6214268730921,57.46675963156149,9.219019607843137,0.6909803921568631,376,6,Open ended,CRISIL Hybrid 35+65 - Aggressive Index,1000.0,1000.0
Nippon India Liquid Fund(M-IDCW),Debt - Liquid Fund,5.14,3.74,4.23,0.34,63.3297529538131,26.098146877144824,31.96314670446492,36.47696800613853,91.57088122605363,20.018552651745807,65.32684971318358,57.462916737878565,4.42803738317757,-0.19803738317756991,377,97,Open ended,Nifty Liquid Fund Index,1000.0,1000.0
ICICI Pru Savings Fund(G),Debt - Low Duration Fund,7.08,4.89,5.43,0.49,67.49731471535982,28.07137954701442,36.21545003543586,40.028601824894224,85.82375478927203,20.813798731738945,63.94944309811548,57.45760038429398,5.122105263157894,0.30789473684210567,378,9,Open ended,CRISIL Low Duration Debt Index,1000.0,1000.0
Franklin India Smaller Cos Fund(G),Equity - Small cap Fund,8.78,23.4,9.62,1.9,71.14930182599355,59.83184625943721,51.06307583274272,57.71095215940123,31.800766283524908,10.070026563594508,82.55820235828608,57.44521824015336,12.12758620689655,-2.5075862068965513,379,20,Open ended,Nifty Smallcap 250 - TRI,5000.0,1000.0
ICICI Pru Debt Mgmt Fund(FOF)(G),FoFs (Domestic) - Debt Oriented,4.62,5.62,6.52,0.74,62.21267454350161,29.323953328757725,40.077958894401135,41.27870035452821,76.24521072796935,16.769328428779172,70.9546711525453,57.43932064739277,7.596764705882354,-1.0767647058823542,380,18,Open ended,NULL,1000.0,1000.0
ICICI Pru Debt Mgmt Fund(FOF)(IDCW),FoFs (Domestic) - Debt Oriented,4.62,5.62,6.52,0.74,62.21267454350161,29.323953328757725,40.077958894401135,41.27870035452821,76.24521072796935,16.769328428779172,70.9546711525453,57.43932064739277,7.596764705882354,-1.0767647058823542,380,18,Open ended,NULL,1000.0,1000.0
Nippon India Focused Equity Fund(IDCW),Equity - Focused Fund,2.92,17.88,9.76,1.89,58.56068743286789,50.36032944406315,51.55917788802267,52.59982526380385,32.18390804597702,4.429150494972608,92.3284863083386,57.428011220480826,9.83,-0.07000000000000028,382,8,Open ended,S&P BSE 500 - TRI,5000.0,1000.0
ICICI Pru Savings Fund(W-IDCW),Debt - Low Duration Fund,7.08,4.89,5.4,0.49,67.49731471535982,28.07137954701442,36.109142452161585,39.97544803325708,85.82375478927203,20.833576083020976,63.91518772085587,57.42245964416052,5.122105263157894,0.2778947368421063,383,10,Open ended,CRISIL Low Duration Debt Index,1000.0,1000.0
ICICI Pru Savings Fund(DD-IDCW),Debt - Low Duration Fund,7.04,4.87,5.39,0.49,67.41138560687432,28.03706245710364,36.073706591070156,39.930249154041036,85.82375478927203,20.80454717337918,63.96546726724379,57.41243009114947,5.122105263157894,0.26789473684210563,384,11,Open ended,CRISIL Low Duration Debt Index,1000.0,1000.0
Canara Rob Equity Tax Saver Fund-Reg(G),Equity - ELSS,0.83,16.57,14.36,1.98,54.07089151450053,48.11256005490735,67.85967399007795,59.177783314411286,28.735632183908045,10.129007393864562,82.45604456358575,57.38681084407909,10.023387096774194,4.336612903225806,385,12,Open ended,S&P BSE 500 - TRI,1000.0,1000.0
ICICI Pru Savings Fund(FN-IDCW),Debt - Low Duration Fund,7.09,4.9,5.36,0.49,67.5187969924812,28.088538091969806,35.96739900779588,39.91402032998512,85.82375478927203,20.865891150712503,63.859216381764114,57.377752957751596,5.122105263157894,0.23789473684210627,386,12,Open ended,CRISIL Low Duration Debt Index,1000.0,1000.0
SBI Conservative Hybrid Fund-Reg(M-IDCW),Hybrid - Conservative Hybrid Fund,5.32,9.87,7.66,1.11,63.71643394199785,36.616334934797536,44.11764705882353,45.78701079825059,62.06896551724137,13.992840413786643,75.76368946111842,57.35166914371524,5.775925925925925,1.884074074074075,387,2,Open ended,NIFTY 50 Hybrid Composite Debt 15:85 Index,5000.0,1000.0
HDFC Retirement Savings Fund-Equity Plan-Reg(G),Solution Oriented - Retirement Fund,12.51,21.92,13.16,2.23,79.16219119226638,57.292381606039825,63.60737065910702,64.82383804981873,19.15708812260537,11.255517905283622,80.50487112254754,57.32740883619759,7.109999999999999,6.050000000000001,388,1,Open ended,NIFTY 500 - TRI,1000.0,1000.0
UTI Value Opp Fund-Reg(IDCW),Equity - Value Fund,4.31,16.01,11.56,1.91,61.54672395273899,47.151681537405636,57.937632884479086,55.42366569400903,31.417624521072796,7.489765583110455,87.02734547327195,57.32307534559071,9.0436,2.516400000000001,389,8,Open ended,NIFTY 500 - TRI,5000.0,1000.0
Edelweiss Liquid Fund-Reg(M-IDCW),Debt - Liquid Fund,5.04,4.0,4.37,0.39,63.11493018259935,26.544269045984905,32.45924875974487,36.81589113018778,89.65517241379311,19.63063526091646,65.99874234323957,57.32142425435206,4.42803738317757,-0.058037383177570234,390,98,Open ended,Nifty Liquid Fund Index,5000.0,1000.0
Edelweiss Liquid Fund-Reg(DD-IDCW),Debt - Liquid Fund,5.05,3.99,4.36,0.39,63.136412459720724,26.527110501029515,32.42381289865344,36.797322091579716,89.65517241379311,19.65653352309458,65.95388523731933,57.30092545856797,4.42803738317757,-0.06803738317757002,391,99,Open ended,Nifty Liquid Fund Index,5000.0,1000.0
Aditya Birla SL Savings Fund-Reg(G),Debt - Ultra Short Duration Fund,5.96,5.04,5.16,0.52,65.09129967776583,28.328757721345234,35.2586817859674,39.14622814494044,84.67432950191571,19.53413008436374,66.16589421222228,57.28317000100472,4.4264935064935065,0.7335064935064937,392,3,Open ended,NIFTY Ultra Short Duration Debt Index,1000.0,1000.0
ICICI Pru Savings Fund(M-IDCW),Debt - Low Duration Fund,7.08,4.89,5.28,0.49,67.49731471535982,28.07137954701442,35.683912119064495,39.762832866708536,85.82375478927203,20.914299736516273,63.77537025162943,57.281197693579635,5.122105263157894,0.1578947368421062,393,13,Open ended,CRISIL Low Duration Debt Index,1000.0,1000.0
Nippon India Multi Cap Fund(G),Equity - Multi Cap Fund,13.91,18.52,11.67,1.82,82.16970998925885,51.45847632120797,58.32742735648475,61.03519857245654,34.86590038314177,16.1183994391489,72.08211323470441,57.25460269068981,12.057857142857143,-0.38785714285714334,394,3,Open ended,Nifty500 Multicap 50:25:25 - TRI,1000.0,1000.0
Kotak Flexicap Fund(IDCW),Equity - Flexi Cap Fund,3.84,12.54,10.26,1.59,60.537056928034374,41.19766643788607,53.3309709425939,51.132196788269646,43.67816091954022,9.77374696115367,83.07137368295993,57.25348204475986,10.461,-0.2010000000000005,395,10,Open ended,NIFTY 500 - TRI,5000.0,1000.0
